team,predicted_points,predicted_rank
Manchester City,90.94593972682347,1
Arsenal,89.01955396756105,2
Liverpool,81.87514673064841,3
Aston Villa,68.04684809494925,4
Tottenham,65.96177160775193,5
Chelsea,62.94173646313805,6
Newcastle United,60.0017622729209,7
Manchester United,59.9873212179788,8
West Ham United,51.9876384699404,9
Crystal Palace,49.04484441568764,10
Bournemouth,47.977817290573036,11
Brighton and Hove Albion,47.9745617327648,12
Fulham,46.98566906775411,13
Wolverhampton Wanderers,45.9864769633705,14
Everton,39.99665950566826,15
Brentford,39.02871370337053,16
Ipswich Town,35.97659043105106,17
Leicester City,34.03294398286323,18
Nottingham Forest,32.07043695048226,19
Southampton,25.09553095634544,20
